984,0,8,2,2,6,2,2,7,6
0,1110,18,13,3,9,2,12,34,1
0,4,908,15,2,5,4,11,13,4
2,3,6,946,0,29,0,0,21,14
2,1,16,1,934,7,3,20,8,19
3,3,2,22,3,776,13,1,19,1
4,0,10,3,6,15,981,0,14,0
1,0,6,13,2,0,0,985,3,18
5,3,17,10,0,10,8,1,819,4
0,3,0,7,28,6,1,38,6,911
